store_id,store_name,region,city,store_format
STR-001,Store 1,North,Delhi,Supermarket
STR-002,Store 2,South,Hyderabad,Hypermarket
STR-003,Store 3,East,Mumbai,Convenience
STR-004,Store 4,West,Chennai,Wholesale
STR-005,Store 5,North,Kolkata,Supermarket
STR-006,Store 6,South,Pune,Hypermarket
STR-007,Store 7,East,Jaipur,Convenience
STR-008,Store 8,West,Lucknow,Wholesale
STR-009,Store 9,North,Delhi,Supermarket
STR-010,Store 10,South,Hyderabad,Hypermarket
STR-011,Store 11,East,Mumbai,Convenience
STR-012,Store 12,West,Chennai,Wholesale
STR-013,Store 13,North,Kolkata,Supermarket
STR-014,Store 14,South,Pune,Hypermarket
STR-015,Store 15,East,Jaipur,Convenience
STR-016,Store 16,West,Lucknow,Wholesale
STR-017,Store 17,North,Delhi,Supermarket
STR-018,Store 18,South,Hyderabad,Hypermarket
STR-019,Store 19,East,Mumbai,Convenience
STR-020,Store 20,West,Chennai,Wholesale
STR-021,Store 21,North,Kolkata,Supermarket
STR-022,Store 22,South,Pune,Hypermarket
STR-023,Store 23,East,Jaipur,Convenience
STR-024,Store 24,West,Lucknow,Wholesale
STR-025,Store 25,North,Delhi,Supermarket
STR-026,Store 26,South,Hyderabad,Hypermarket
STR-027,Store 27,East,Mumbai,Convenience
STR-028,Store 28,West,Chennai,Wholesale
STR-029,Store 29,North,Kolkata,Supermarket
STR-030,Store 30,South,Pune,Hypermarket
STR-031,Store 31,East,Jaipur,Convenience
STR-032,Store 32,West,Lucknow,Wholesale
STR-033,Store 33,North,Delhi,Supermarket
STR-034,Store 34,South,Hyderabad,Hypermarket
STR-035,Store 35,East,Mumbai,Convenience
STR-036,Store 36,West,Chennai,Wholesale
STR-037,Store 37,North,Kolkata,Supermarket
STR-038,Store 38,South,Pune,Hypermarket
STR-039,Store 39,East,Jaipur,Convenience
STR-040,Store 40,West,Lucknow,Wholesale
